year,agency_location,incident_date,incident_hour,agency_name,state,population,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,offense_name,offense_category_name,criminal_act_name,location_area
2021,2120,2021-01-05,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-01-09,6,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2021,2120,2021-01-21,20,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-01-23,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2120,2021-01-23,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2120,2021-02-01,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Operating/Promoting/Assisting,Other/Unknown
2021,2120,2021-02-02,12,Ansonia,Connecticut,18452,32,1,33,6,9,15,Pornography/Obscene Material,Pornography/Obscene Material,Possessing/Concealing,Other/Unknown
2021,2120,2021-02-05,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,School/College
2021,2143,2021-01-07,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-02-09,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-01-13,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-01-13,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-02-10,20,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-01-19,9,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Bank/Savings and Loan
2021,2120,2021-02-16,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-01-28,4,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-01-28,4,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-02-16,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Other/Unknown
2021,2143,2021-01-30,22,East Windsor,Connecticut,11702,20,5,25,6,5,11,Animal Cruelty,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2021,2120,2021-02-20,3,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Rental Storage Facility
2021,2143,2021-02-11,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Service/Gas Station
2021,2143,2021-02-11,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Service/Gas Station
2021,2143,2021-02-11,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Using/Consuming,Bank/Savings and Loan
2021,2143,2021-02-15,3,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-02-15,3,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-02-24,11,Ansonia,Connecticut,18452,32,1,33,6,9,15,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Department/Discount Store
2021,2120,2021-02-24,17,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-02-24,17,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-02-20,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-02-20,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-02-21,20,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Department/Discount Store
2021,2143,2021-02-21,20,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Department/Discount Store
2021,2143,2021-03-06,11,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Using/Consuming,Bank/Savings and Loan
2021,2143,2021-03-13,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-03-13,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-03-20,16,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Buying/Receiving,Restaurant
2021,2120,2021-03-11,9,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Operating/Promoting/Assisting,Residence/Home
2021,2143,2021-04-03,2,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-04-03,2,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-04-03,2,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Hotel/Motel/Etc.
2021,2120,2021-03-14,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-03-15,11,Ansonia,Connecticut,18452,32,1,33,6,9,15,Counterfeiting/Forgery,Counterfeiting/Forgery,Operating/Promoting/Assisting,Bank/Savings and Loan
2021,2120,2021-03-16,11,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Convenience Store
2021,2143,2021-02-04,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Convenience Store
2021,2143,2021-02-04,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Convenience Store
2021,2143,2021-02-04,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Convenience Store
2021,2143,2021-04-10,12,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-04-10,12,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-04-16,14,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Department/Discount Store
2021,2120,2021-03-21,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-03-21,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-03-23,21,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Distributing/Selling,Residence/Home
2021,2120,2021-03-25,1,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-04-21,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-04-21,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-03-27,16,Ansonia,Connecticut,18452,32,1,33,6,9,15,Counterfeiting/Forgery,Counterfeiting/Forgery,Distributing/Selling,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-04-22,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Other/Unknown
2021,2120,2021-04-07,2,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-11,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Department/Discount Store
2021,2143,2021-05-11,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Department/Discount Store
2021,2143,2021-05-12,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-12,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-13,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-05-13,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-05-14,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
