year,incident_hour,city,offense_category_name,criminal_act_name,location_area
2022,18,Ledyard,Animal Cruelty,Intentional Abuse and Torture,Drug Store/Doctor's Office/Hospital
2022,12,Berlin,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,12,Bloomfield,Animal Cruelty,Simple/Gross Neglect,Farm Facility
2022,7,Bloomfield,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,20,Bloomfield,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,12,Branford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,12,Branford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,9,Branford,Animal Cruelty,Intentional Abuse and Torture,Lake/Waterway/Beach
2022,13,Bridgeport,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,14,Bridgeport,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,10,Bridgeport,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,10,Bridgeport,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,8,Bristol,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,18,Bristol,Animal Cruelty,Intentional Abuse and Torture,Park/Playground
2022,16,Brookfield,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,12,Cheshire,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,14,Cromwell,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,17,Danbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,0,Derby,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,0,Derby,Animal Cruelty,Simple/Gross Neglect,Park/Playground
2022,18,East Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,East Windsor,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,15,East Windsor,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,13,Fairfield,Animal Cruelty,Intentional Abuse and Torture,Parking/Drop Lot/Garage
2022,20,Fairfield,Animal Cruelty,Animal Sexual Abuse,Residence/Home
2022,18,Fairfield,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,12,Farmington,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,8,Greenwich,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,13,Hartford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,19,Hartford,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2022,20,Hartford,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,13,Hartford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,6,Hartford,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2022,13,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,18,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,11,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,19,Manchester,Animal Cruelty,Intentional Abuse and Torture,Drug Store/Doctor's Office/Hospital
2022,14,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,13,Manchester,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,10,Manchester,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,19,Manchester,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,10,Manchester,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,16,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,21,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,11,Manchester,Animal Cruelty,Intentional Abuse and Torture,Park/Playground
2022,13,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,11,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,14,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,10,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,17,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,17,Meriden,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,13,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,16,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,19,Middletown,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,13,Middletown,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,Middletown,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,15,Monroe,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,18,Naugatuck,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,12,Naugatuck,Animal Cruelty,Intentional Abuse and Torture,Farm Facility
2022,17,Naugatuck,Animal Cruelty,Intentional Abuse and Torture,Farm Facility
2022,16,Naugatuck,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,17,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,17,New Britain,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,16,New Britain,Animal Cruelty,Animal Sexual Abuse,Residence/Home
2022,3,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,14,New Britain,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,9,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,11,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,4,New Britain,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,14,New Haven,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,19,New Haven,Animal Cruelty,Simple/Gross Neglect,Convenience Store
2022,14,New Haven,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2022,17,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,17,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,New Haven,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2022,13,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,New Haven,Animal Cruelty,Intentional Abuse and Torture,Other/Unknown
2022,14,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,9,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,10,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,9,New Haven,Animal Cruelty,Organized Abuse,Residence/Home
2022,6,New Haven,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,8,Newington,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,10,Newington,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2022,12,New Milford,Animal Cruelty,Simple/Gross Neglect,Department/Discount Store
2022,11,New Milford,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,14,Norwalk,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,16,Norwalk,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,13,Norwich,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,19,Norwich,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,18,Rocky Hill,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,15,Southington,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,13,Southington,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,17,Southington,Animal Cruelty,Simple/Gross Neglect,Grocery/Supermarket
2022,12,Southington,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,10,Southington,Animal Cruelty,Intentional Abuse and Torture,Other/Unknown
2022,16,South Windsor,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,15,Stonington,Animal Cruelty,Simple/Gross Neglect,Government/Public Building
2022,10,Stratford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,16,Stratford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,12,Suffield,Animal Cruelty,Simple/Gross Neglect,Other/Unknown
2022,15,Trumbull,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,19,Vernon,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,10,Waterbury,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2022,18,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,6,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,7,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Other/Unknown
2022,10,Waterford,Animal Cruelty,Simple/Gross Neglect,Park/Playground
2022,20,Willimantic,Animal Cruelty,Simple/Gross Neglect,Other/Unknown
2022,12,Willimantic,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,9,Windsor,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,20,Windsor Locks,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,0,Wolcott,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,12,Woodbridge,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2022,12,Groton Town,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,18,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,0,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Rest Area
2022,9,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,19,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,11,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,19,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2022,18,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Daycare Facility
2022,16,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,9,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,22,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2022,17,Mohegan Tribal,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,13,Ledyard,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,11,Ledyard,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,10,Avon,Animal Cruelty,Simple/Gross Neglect,Farm Facility
2023,1,Bloomfield,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,7,Branford,Animal Cruelty,Simple/Gross Neglect,Park/Playground
2023,9,Branford,Animal Cruelty,Simple/Gross Neglect,Commercial/Office Building
2023,12,Branford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Branford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,14,Branford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,18,Bridgeport,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,5,Bridgeport,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,7,Bristol,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,15,Bristol,Animal Cruelty,Simple/Gross Neglect,Service/Gas Station
2023,13,Coventry,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Coventry,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,14,Danbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,20,Danbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,18,Danbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,0,Derby,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,10,East Hartford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,8,East Hartford,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,18,East Hartford,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,18,East Hartford,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,10,Fairfield,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,14,Farmington,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,9,Glastonbury,Animal Cruelty,Simple/Gross Neglect,Government/Public Building
2023,12,Greenwich,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,11,Hamden,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,16,Hamden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,0,Hamden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,16,Hartford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,13,Hartford,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,16,Hartford,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,10,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,9,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,19,Manchester,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,21,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,14,Manchester,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,9,Manchester,Animal Cruelty,Simple/Gross Neglect,Liquor Store
2023,14,Manchester,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,19,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,12,Manchester,Animal Cruelty,Simple/Gross Neglect,Department/Discount Store
2023,9,Manchester,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,12,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,8,Meriden,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,22,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,19,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,14,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,9,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Meriden,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,0,Meriden,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,13,Middletown,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,15,Middletown,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,10,Naugatuck,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,9,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,9,New Britain,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,14,New Britain,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,15,New Britain,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,12,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,18,New Britain,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,14,New Britain,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,23,New Britain,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,12,New Haven,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,20,New Haven,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,6,New Haven,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,17,New Haven,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,18,New Haven,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
2023,23,New Haven,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,17,New Haven,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,14,New Haven,Animal Cruelty,Simple/Gross Neglect,Highway/Road/Alley/Street/Sidewalk
